analytics_id,social_media,user_id
1,Facebook,1
2,Instagram,1
3,LinkedIn,2
4,Instagram,2
5,Twitter,3
6,LinkedIn,4
7,Facebook,5
8,Instagram,5
9,Facebook,6
10,LinkedIn,7
11,Twitter,7
12,LinkedIn,8
13,LinkedIn,8
14,Facebook,9
15,LinkedIn,10
16,Instagram,11
17,Twitter,11
18,Twitter,12
19,LinkedIn,13
20,Facebook,14
21,Twitter,15
22,LinkedIn,15
23,Instagram,16
24,Facebook,17
25,Facebook,18
26,Instagram,18
27,Instagram,19
28,Twitter,19
29,Twitter,20
30,Facebook,21
31,Instagram,22
32,LinkedIn,23
33,LinkedIn,23
34,Twitter,24
35,Twitter,24
36,Facebook,25
37,LinkedIn,25
38,LinkedIn,26
39,Twitter,27
40,Twitter,27
41,LinkedIn,28
42,Facebook,29
43,Twitter,29
44,Facebook,30
45,Twitter,31
46,LinkedIn,32
47,Facebook,32
48,LinkedIn,33
49,Facebook,33
50,Instagram,34
51,LinkedIn,34
52,Facebook,35
53,Instagram,35
54,Twitter,36
55,Facebook,36
56,LinkedIn,37
57,Instagram,38
58,LinkedIn,39
59,Instagram,39
60,LinkedIn,40
61,Twitter,40
62,Twitter,41
63,Instagram,41
64,Facebook,42
65,Twitter,43
66,LinkedIn,43
67,Facebook,44
68,Facebook,45
69,Twitter,46
70,LinkedIn,47
71,Instagram,48
72,Twitter,49
73,Instagram,49
74,Instagram,50
75,Instagram,50
76,LinkedIn,51
77,Instagram,51
78,Twitter,52
79,Facebook,53
80,LinkedIn,53
81,LinkedIn,54
82,Facebook,54
83,Twitter,55
84,Facebook,56
85,Twitter,56
86,Facebook,57
87,LinkedIn,58
88,Facebook,59
89,Instagram,60
90,LinkedIn,60
91,LinkedIn,61
92,Twitter,61
93,Facebook,62
94,Twitter,63
95,Instagram,64
96,LinkedIn,64
97,Instagram,65
98,Instagram,65
99,Twitter,66
100,Facebook,66
101,Facebook,67
102,Instagram,67
103,LinkedIn,68
104,LinkedIn,68
105,LinkedIn,69
106,Facebook,70
107,LinkedIn,70
108,LinkedIn,71
109,Twitter,71
110,Twitter,72
111,Twitter,72
112,Twitter,73
113,Twitter,73
114,LinkedIn,74
115,Facebook,74
116,Twitter,75
117,Twitter,75
118,Instagram,76
119,Facebook,77
120,LinkedIn,78
121,Facebook,79
122,Twitter,80
123,Twitter,80
124,Twitter,81
125,LinkedIn,82
126,Twitter,83
127,Twitter,84
128,Instagram,85
129,LinkedIn,85
130,Instagram,86
131,Instagram,86
132,Instagram,87
133,Twitter,87
134,LinkedIn,88
135,Twitter,88
136,Instagram,89
137,Twitter,89
138,Facebook,90
139,Instagram,90
140,Instagram,91
141,Twitter,92
142,Twitter,93
143,LinkedIn,94
144,Facebook,94
145,Twitter,95
146,LinkedIn,95
147,LinkedIn,96
148,Twitter,97
149,Facebook,97
150,LinkedIn,98
151,Instagram,98
152,Twitter,99
153,Instagram,99
154,Facebook,100
